Fecha,Día,Modelo de entrada,Patrón de entrada,Hora apertura (NY),Hora cierre  (NY),Buy / Sell,Resultado,Beneficio (R),Trades tp,Trades sl,Fecha_dt,Beneficio_R,es_hedge,modelo_limpio,dia_norm,sesion,semana_iso
29/07/2026,Miércoles,MEC,Envolvente,20:34,20:39,Sell,Take Profit,1,1.0,,2026-07-29,1.0,False,MEC,miércoles,Asia,2026-W31
30/07/2026,Jueves,MEC,Envolvente,20:16,20:31,Sell,Take Profit,1,1.0,,2026-07-30,1.0,False,MEC,jueves,Asia,2026-W31
03/08/2026,lunes,MEC,Envolvente,07:47,07:51,Buy,Take Profit,1.0,1.0,,2026-08-03,1.0,False,MEC,lunes,Pre-NY,2026-W32
03/08/2026,Lunes,MEC,START,21:05,21:43,Sell,Stop Loss,-1,,1.0,2026-08-03,-1.0,False,MEC,lunes,Asia,2026-W32
04/08/2026,martes,MEC,Envolvente,07:25,07:32,Buy,Take Profit,1.0,1.0,,2026-08-04,1.0,False,MEC,martes,Pre-NY,2026-W32
05/08/2026,miercoles,MEC,Envolvente,07:02,07:16,Buy,Take Profit,1.0,1.0,,2026-08-05,1.0,False,MEC,miercoles,Pre-NY,2026-W32
05/08/2026,Miércoles,MER,,21:31,21:39,Buy,Take Profit,1,1.0,,2026-08-05,1.0,False,MER,miércoles,Asia,2026-W32
10/08/2026,lunes,MEC,Envolvente,08:13,08:26,Sell,Take Profit,1.0,1.0,,2026-08-10,1.0,False,MEC,lunes,Pre-NY,2026-W33
11/08/2026,martes,MEC,Envolvente,07:01,09:10,Buy,Take Profit,1.0,1.0,,2026-08-11,1.0,False,MEC,martes,Pre-NY,2026-W33
12/08/2026,Miércoles,MEC,Envolvente,20:15,20:23,Buy,Take Profit,1,1.0,,2026-08-12,1.0,False,MEC,miércoles,Asia,2026-W33
17/08/2026,Lunes,MEC,Envolvente,08:44,09:32,Sell,Stop Loss,"-0,86",,1.0,2026-08-17,-0.86,False,MEC,lunes,Pre-NY,2026-W34
17/08/2026,Lunes,MEC,Envolvente,21:41,21:45,Sell,Take Profit,1,1.0,,2026-08-17,1.0,False,MEC,lunes,Asia,2026-W34
19/08/2026,Miércoles,MEC,Envolvente,08:11,08:33,Buy,Take Profit,1,1.0,,2026-08-19,1.0,False,MEC,miércoles,Pre-NY,2026-W34
19/08/2026,Miércoles,MER,,20:21,21:01,Sell,Take Profit,1,1.0,,2026-08-19,1.0,False,MER,miércoles,Asia,2026-W34
20/08/2026,Jueves,MEC,Envolvente,07:13,07:41,Sell,Take Profit,1,1.0,,2026-08-20,1.0,False,MEC,jueves,Pre-NY,2026-W34
24/08/2026,Lunes,MEC,START,20:59,21:00,Sell,Take Profit,1,1.0,,2026-08-24,1.0,False,MEC,lunes,Asia,2026-W35
25/08/2026,Martes,MEC,Envolvente,07:18,08:03,Buy,Stop Loss,"-0,9",,1.0,2026-08-25,-0.9,False,MEC,martes,Pre-NY,2026-W35
25/08/2026,Martes,"Hegde Position, MEC",Envolvente,08:03,08:40,Sell,Take Profit,1,1.0,,2026-08-25,1.0,True,MEC,martes,Pre-NY,2026-W35
26/08/2026,Miércoles,MEC,Envolvente,08:00,08:30,Buy,Stop Loss,-1,,1.0,2026-08-26,-1.0,False,MEC,miércoles,Pre-NY,2026-W35
26/08/2026,Miércoles,MER,,20:06,20:35,Sell,Take Profit,1,1.0,,2026-08-26,1.0,False,MER,miércoles,Asia,2026-W35
27/08/2026,Jueves,MEC,START,07:20,07:31,Buy,Take Profit,1,1.0,,2026-08-27,1.0,False,MEC,jueves,Pre-NY,2026-W35
27/08/2026,Jueves,MEC,Envolvente,20:21,21:07,Sell,Stop Loss,"-0,48",,1.0,2026-08-27,-0.48,False,MEC,jueves,Asia,2026-W35
27/08/2026,Jueves,"Hegde Position, MEC",Envolvente,21:07,21:27,Buy,Stop Loss,-1,,1.0,2026-08-27,-1.0,True,MEC,jueves,Asia,2026-W35
31/08/2026,Lunes,MEC,Envolvente,21:05 ,21:34,Sell,Take Profit,"0,33",1.0,,2026-08-31,0.33,False,MEC,lunes,Asia,2026-W36
01/09/2026,Martes,MEC,Envolvente,08:00 ,08:35,Sell,Take Profit,1,1.0,,2026-09-01,1.0,False,MEC,martes,Pre-NY,2026-W36
02/09/2026,Miércoles,MEC,Envolvente,07:12 ,07:14,Buy,Take Profit,1,1.0,,2026-09-02,1.0,False,MEC,miércoles,Pre-NY,2026-W36
