t,direccion,modelo,t_ny,hora_ny
2025-10-27 17:28:00+00:00,BUY,MEC-A,2025-10-27 13:28:00-04:00,13
2025-10-27 17:33:00+00:00,BUY,MEC-A,2025-10-27 13:33:00-04:00,13
2025-10-27 17:34:00+00:00,BUY,MEC-A,2025-10-27 13:34:00-04:00,13
2025-10-27 17:37:00+00:00,SELL,MEC-A,2025-10-27 13:37:00-04:00,13
2025-10-27 17:46:00+00:00,BUY,MEC-A,2025-10-27 13:46:00-04:00,13
2025-10-27 17:49:00+00:00,BUY,MEC-A,2025-10-27 13:49:00-04:00,13
2025-10-27 17:54:00+00:00,BUY,MEC-A,2025-10-27 13:54:00-04:00,13
2025-10-27 17:57:00+00:00,BUY,MEC-A,2025-10-27 13:57:00-04:00,13
2025-10-27 18:06:00+00:00,BUY,MEC-A,2025-10-27 14:06:00-04:00,14
2025-10-27 18:14:00+00:00,BUY,MEC-A,2025-10-27 14:14:00-04:00,14
2025-10-27 18:18:00+00:00,BUY,MEC-A,2025-10-27 14:18:00-04:00,14
2025-10-27 18:33:00+00:00,SELL,MEC-A,2025-10-27 14:33:00-04:00,14
2025-10-27 18:35:00+00:00,SELL,MEC-A,2025-10-27 14:35:00-04:00,14
2025-10-27 18:37:00+00:00,SELL,MEC-A,2025-10-27 14:37:00-04:00,14
2025-10-27 18:38:00+00:00,SELL,MEC-A,2025-10-27 14:38:00-04:00,14
2025-10-27 18:41:00+00:00,SELL,MEC-A,2025-10-27 14:41:00-04:00,14
2025-10-27 18:48:00+00:00,SELL,MEC-A,2025-10-27 14:48:00-04:00,14
2025-10-27 18:55:00+00:00,SELL,MEC-A,2025-10-27 14:55:00-04:00,14
2025-10-27 18:56:00+00:00,SELL,MEC-A,2025-10-27 14:56:00-04:00,14
2025-10-27 18:59:00+00:00,SELL,MEC-A,2025-10-27 14:59:00-04:00,14
2025-10-27 19:07:00+00:00,SELL,MEC-A,2025-10-27 15:07:00-04:00,15
2025-10-27 19:12:00+00:00,SELL,MEC-A,2025-10-27 15:12:00-04:00,15
2025-10-27 19:16:00+00:00,SELL,MEC-A,2025-10-27 15:16:00-04:00,15
2025-10-27 19:18:00+00:00,SELL,MEC-A,2025-10-27 15:18:00-04:00,15
2025-10-27 19:20:00+00:00,SELL,MEC-A,2025-10-27 15:20:00-04:00,15
2025-10-27 19:25:00+00:00,SELL,MEC-A,2025-10-27 15:25:00-04:00,15
2025-10-27 19:26:00+00:00,SELL,MEC-A,2025-10-27 15:26:00-04:00,15
2025-10-27 19:28:00+00:00,SELL,MEC-A,2025-10-27 15:28:00-04:00,15
2025-10-27 19:29:00+00:00,SELL,MEC-A,2025-10-27 15:29:00-04:00,15
2025-10-27 19:34:00+00:00,SELL,MEC-A,2025-10-27 15:34:00-04:00,15
2025-10-27 19:37:00+00:00,SELL,MEC-A,2025-10-27 15:37:00-04:00,15
2025-10-27 19:43:00+00:00,SELL,MEC-A,2025-10-27 15:43:00-04:00,15
2025-10-27 19:54:00+00:00,SELL,MEC-A,2025-10-27 15:54:00-04:00,15
2025-10-27 20:02:00+00:00,BUY,MEC-A,2025-10-27 16:02:00-04:00,16
2025-10-27 20:11:00+00:00,BUY,MEC-A,2025-10-27 16:11:00-04:00,16
2025-10-27 20:15:00+00:00,BUY,MEC-A,2025-10-27 16:15:00-04:00,16
2025-10-27 20:17:00+00:00,BUY,MEC-A,2025-10-27 16:17:00-04:00,16
2025-10-27 20:19:00+00:00,BUY,MEC-A,2025-10-27 16:19:00-04:00,16
2025-10-27 20:22:00+00:00,BUY,MEC-A,2025-10-27 16:22:00-04:00,16
2025-10-27 20:23:00+00:00,BUY,MEC-A,2025-10-27 16:23:00-04:00,16
2025-10-27 20:24:00+00:00,BUY,MEC-A,2025-10-27 16:24:00-04:00,16
2025-10-27 20:26:00+00:00,BUY,MEC-A,2025-10-27 16:26:00-04:00,16
