t_entrada,R,direccion,t_ny,hora_ny
2025-11-06 11:51:00+00:00,-1.0,1,2025-11-06 06:51:00-05:00,6
2025-11-06 12:09:00+00:00,0.9,-1,2025-11-06 07:09:00-05:00,7
2025-11-06 12:41:00+00:00,0.9,-1,2025-11-06 07:41:00-05:00,7
2025-11-06 12:56:00+00:00,-1.0,-1,2025-11-06 07:56:00-05:00,7
2025-11-06 14:10:00+00:00,0.9,-1,2025-11-06 09:10:00-05:00,9
2025-11-06 14:11:00+00:00,-1.0,-1,2025-11-06 09:11:00-05:00,9
2025-11-06 14:16:00+00:00,0.9,-1,2025-11-06 09:16:00-05:00,9
2025-11-06 14:20:00+00:00,0.9,-1,2025-11-06 09:20:00-05:00,9
2025-11-06 15:02:00+00:00,0.9,-1,2025-11-06 10:02:00-05:00,10
2025-11-06 17:23:00+00:00,-1.0,-1,2025-11-06 12:23:00-05:00,12
2025-11-07 02:14:00+00:00,0.9,-1,2025-11-06 21:14:00-05:00,21
2025-11-07 02:30:00+00:00,-1.0,-1,2025-11-06 21:30:00-05:00,21
2025-11-07 02:38:00+00:00,-1.0,1,2025-11-06 21:38:00-05:00,21
2025-11-07 03:04:00+00:00,0.9,-1,2025-11-06 22:04:00-05:00,22
2025-11-07 04:03:00+00:00,-1.0,-1,2025-11-06 23:03:00-05:00,23
2025-11-07 04:05:00+00:00,0.9,1,2025-11-06 23:05:00-05:00,23
2025-11-07 04:18:00+00:00,0.9,1,2025-11-06 23:18:00-05:00,23
2025-11-07 04:28:00+00:00,0.9,1,2025-11-06 23:28:00-05:00,23
2025-11-07 06:32:00+00:00,0.9,1,2025-11-07 01:32:00-05:00,1
2025-11-07 06:50:00+00:00,0.9,1,2025-11-07 01:50:00-05:00,1
2025-11-07 09:15:00+00:00,-1.0,1,2025-11-07 04:15:00-05:00,4
2025-11-07 09:33:00+00:00,0.9,-1,2025-11-07 04:33:00-05:00,4
2025-11-07 11:22:00+00:00,0.9,-1,2025-11-07 06:22:00-05:00,6
2025-11-07 11:37:00+00:00,-1.0,-1,2025-11-07 06:37:00-05:00,6
2025-11-07 11:54:00+00:00,-1.0,1,2025-11-07 06:54:00-05:00,6
2025-11-07 12:49:00+00:00,-1.0,-1,2025-11-07 07:49:00-05:00,7
2025-11-07 13:04:00+00:00,-1.0,1,2025-11-07 08:04:00-05:00,8
2025-11-07 13:32:00+00:00,-1.0,-1,2025-11-07 08:32:00-05:00,8
2025-11-07 14:11:00+00:00,-1.0,1,2025-11-07 09:11:00-05:00,9
2025-11-07 14:31:00+00:00,-1.0,-1,2025-11-07 09:31:00-05:00,9
2025-11-07 16:25:00+00:00,0.9,1,2025-11-07 11:25:00-05:00,11
2025-11-07 16:36:00+00:00,-1.0,1,2025-11-07 11:36:00-05:00,11
2025-11-07 17:15:00+00:00,0.9,-1,2025-11-07 12:15:00-05:00,12
