time,open,high,low,close,n_ticks
2026-08-18 12:31:00+00:00,4393.3099999999995,4395.17,4392.41,4395.055,191
2026-08-18 12:32:00+00:00,4395.035,4396.0650000000005,4393.86,4396.014999999999,150
2026-08-18 12:33:00+00:00,4396.03,4396.96,4395.52,4396.844999999999,173
2026-08-18 12:34:00+00:00,4396.79,4397.435,4396.4400000000005,4396.71,153
2026-08-18 12:35:00+00:00,4396.775,4397.96,4396.665,4397.41,224
2026-08-18 12:36:00+00:00,4397.405000000001,4397.705,4394.455,4394.5599999999995,243
2026-08-18 12:37:00+00:00,4394.625,4395.325,4392.860000000001,4393.055,198
2026-08-18 12:38:00+00:00,4392.985000000001,4394.975,4392.889999999999,4393.91,224
2026-08-18 12:39:00+00:00,4394.05,4394.895,4393.75,4394.315,204
2026-08-18 12:40:00+00:00,4394.15,4394.16,4391.055,4392.264999999999,209
2026-08-18 12:41:00+00:00,4392.1849999999995,4392.4,4391.405000000001,4392.280000000001,174
2026-08-18 12:42:00+00:00,4392.445,4392.975,4391.57,4392.97,145
2026-08-18 12:43:00+00:00,4392.945,4393.17,4391.96,4392.675,174
2026-08-18 12:44:00+00:00,4392.665,4393.01,4391.83,4392.21,143
2026-08-18 12:45:00+00:00,4392.205,4394.6,4392.205,4394.1849999999995,176
2026-08-18 12:46:00+00:00,4394.105,4395.34,4393.504999999999,4393.735000000001,177
2026-08-18 12:47:00+00:00,4393.62,4396.610000000001,4393.3150000000005,4395.625,200
2026-08-18 12:48:00+00:00,4395.695,4395.84,4394.639999999999,4395.365,112
2026-08-18 12:49:00+00:00,4395.325,4396.18,4395.325,4396.02,150
2026-08-18 12:50:00+00:00,4396.139999999999,4397.030000000001,4395.885,4395.945,167
2026-08-18 12:51:00+00:00,4395.87,4396.65,4395.275,4396.29,178
2026-08-18 12:52:00+00:00,4396.37,4396.58,4394.23,4396.375,179
2026-08-18 12:53:00+00:00,4396.36,4396.610000000001,4395.0,4395.0650000000005,137
2026-08-18 12:54:00+00:00,4394.844999999999,4395.005,4392.355,4393.175,229
2026-08-18 12:55:00+00:00,4393.305,4393.73,4392.1900000000005,4392.1900000000005,207
2026-08-18 12:56:00+00:00,4392.28,4393.18,4390.815,4392.77,218
2026-08-18 12:57:00+00:00,4392.79,4393.92,4392.4,4393.92,180
2026-08-18 12:58:00+00:00,4394.07,4394.75,4393.7,4394.025,172
2026-08-18 12:59:00+00:00,4394.57,4395.9,4394.094999999999,4394.215,196
2026-08-18 13:00:00+00:00,4394.105,4396.305,4390.745,4391.155,420
2026-08-18 13:01:00+00:00,4391.135,4394.26,4390.28,4393.264999999999,396
2026-08-18 13:02:00+00:00,4393.215,4393.285,4390.575000000001,4391.17,363
2026-08-18 13:03:00+00:00,4391.075,4396.379999999999,4390.88,4395.145,336
2026-08-18 13:04:00+00:00,4395.135,4397.485000000001,4394.93,4395.84,276
2026-08-18 13:05:00+00:00,4395.84,4396.700000000001,4395.445,4395.84,273
2026-08-18 13:06:00+00:00,4395.835,4396.035,4393.41,4393.715,245
2026-08-18 13:07:00+00:00,4393.77,4393.78,4389.99,4390.360000000001,277
2026-08-18 13:08:00+00:00,4390.530000000001,4391.28,4389.0,4389.66,314
2026-08-18 13:09:00+00:00,4389.639999999999,4390.945,4389.055,4389.12,225
2026-08-18 13:10:00+00:00,4389.13,4391.42,4388.389999999999,4391.42,283
2026-08-18 13:11:00+00:00,4391.305,4391.305,4390.415,4390.91,204
2026-08-18 13:12:00+00:00,4390.895,4395.085,4390.34,4394.42,239
2026-08-18 13:13:00+00:00,4394.03,4394.275,4392.594999999999,4393.08,73
2026-08-18 13:14:00+00:00,4393.219999999999,4396.13,4392.975,4395.965,128
2026-08-18 13:15:00+00:00,4396.0,4396.27,4393.355,4394.639999999999,142
2026-08-18 13:16:00+00:00,4394.475,4395.125,4389.0599999999995,4389.2,165
2026-08-18 13:17:00+00:00,4389.0599999999995,4391.595,4388.46,4390.5599999999995,201
2026-08-18 13:18:00+00:00,4390.545,4391.6849999999995,4390.035,4391.055,253
2026-08-18 13:19:00+00:00,4391.04,4393.37,4390.68,4391.035,232
2026-08-18 13:20:00+00:00,4391.055,4392.945,4390.41,4392.74,247
2026-08-18 13:21:00+00:00,4392.875,4393.5599999999995,4390.935,4392.305,231
