dir,fin_idx,resultado,dist_1_antes,dist_2_antes,dist_3_antes,dist_max,largo
1,827,reversion,0.4200936354129458,0.6717054189643855,1.020350896982022,1.020350896982022,3
-1,830,continuacion,0.6023079199793131,,,0.6023079199793131,1
-1,832,continuacion,0.3422128945698158,,,0.3422128945698158,1
-1,835,reversion,0.9481157001597381,0.882721287072506,,0.9481157001597381,2
-1,837,reversion,0.4246571606397324,,,0.4246571606397324,1
1,848,continuacion,0.925407875337416,1.1585516938640132,1.3058821805991605,1.3058821805991605,7
1,857,reversion,0.42934599267487267,0.8432225378482349,0.3451495282334932,2.3771066999022135,8
-1,869,continuacion,0.6221616978276606,1.1059825790373634,1.4033405369659453,1.4033405369659453,5
-1,876,continuacion,0.48598357958185395,0.8196072481964743,0.801391414741838,1.385860046290372,6
-1,890,reversion,0.9391259775302748,0.8295936393537087,1.0704411795674815,1.930230568651769,8
1,898,continuacion,0.877040629317817,1.435959059474698,1.2646627803274062,1.435959059474698,6
1,904,continuacion,0.6741211746047496,1.3393988253453377,0.5529002165796411,1.3393988253453377,3
1,912,continuacion,0.21915833301181745,,,0.21915833301181745,1
1,920,reversion,0.6019866549927989,1.011642261843291,,1.011642261843291,2
-1,923,continuacion,0.28138772836360443,1.1071914178887206,,1.1071914178887206,2
-1,927,reversion,0.029664984812911875,0.49062196832243127,,0.49062196832243127,2
1,929,continuacion,0.2523045311810065,,,0.2523045311810065,1
1,933,reversion,1.28581362418285,1.3750899896200355,1.6798665531819537,1.6798665531819537,3
-1,936,continuacion,0.3137640525226557,,,0.3137640525226557,1
-1,941,continuacion,0.5558261705864933,0.7828469524478663,1.160769277914953,1.2576896107487074,4
-1,943,continuacion,0.023165858798562953,,,0.023165858798562953,1
-1,948,continuacion,0.34681207722545654,0.7608067523423344,1.3642603301155323,1.3642603301155323,4
-1,951,continuacion,0.21244112020356445,,,0.21244112020356445,1
1,956,reversion,1.111076098402801,,,1.111076098402801,1
-1,961,continuacion,0.5589817648876745,0.7832587193558495,0.8422015765174767,0.8422015765174767,3
-1,984,continuacion,1.0251621657185115,0.9526400206167315,0.8429088860572188,2.879632194630972,22
-1,989,reversion,0.2540240111022419,0.6684290424136416,0.4262958222712228,0.6684290424136416,4
1,996,continuacion,0.6976019434939177,0.4314134652903746,0.7161068430496924,0.7161068430496924,3
1,1001,reversion,1.2915966034003388,2.1089104930529077,2.1934065448505446,2.1934065448505446,4
-1,1004,continuacion,0.553750792816688,,,0.553750792816688,1
1,1007,reversion,0.3942120703356069,,,0.3942120703356069,1
